Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Roman Yaremchuk,Valencia CF,725.504€,14,9,173,0,0,0,0,2,0,0,9,33,0,4,0,0,0,0,0,0,0,0
Kouame,Cádiz CF,501.158€,14,7,364,0,0,0,1,1,2,0,31,25,0,8,0,0,0,2,0,0,0,0
Raúl,C.A. Osasuna,711.237€,14,8,180,0,0,0,0,1,1,0,8,28,0,5,0,0,0,0,0,0,0,0
Pozo,UD Almería,517.807€,13,12,400,0,0,0,7,5,1,1,27,79,0,16,0,0,0,0,0,0,0,0
Milla,Getafe CF,518.248€,13,4,223,0,0,0,8,1,2,0,21,41,0,2,0,0,0,0,0,0,0,0
Tapia,RC Celta,535.500€,13,13,197,0,0,0,0,6,1,1,15,25,0,3,0,0,0,1,1,0,0,0
Cervi,RC Celta,530.295€,13,9,169,0,0,1,1,2,1,0,20,23,0,4,0,0,0,1,0,0,0,0
Paco Lopez,Granada CF,476.252€,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Alonso,FC Barcelona,699.460€,13,12,160,0,0,1,2,3,3,2,14,23,0,4,0,0,0,0,0,0,0,0
Rafael Benitez Maudes,RC Celta,533.788€,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tenaglia,Deportivo Alavés,627.990€,13,12,96,0,0,0,1,9,0,0,7,15,0,1,0,0,0,0,0,0,0,0
